127.0.0.1, 2014-11-09 20:07:27, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000890
127.0.0.1, 2014-11-09 20:07:27, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003818
127.0.0.1, 2014-11-09 20:07:27, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.006995
127.0.0.1, 2014-11-09 20:07:27, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000748
127.0.0.1, 2014-11-09 20:07:27, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001055
127.0.0.1, 2014-11-09 20:07:27, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000390
127.0.0.1, 2014-11-09 20:07:27, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000231
127.0.0.1, 2014-11-09 20:07:27, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002793
127.0.0.1, 2014-11-09 20:07:27, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.002503
127.0.0.1, 2014-11-09 20:07:28, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001775
127.0.0.1, 2014-11-09 20:07:28, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000977
127.0.0.1, 2014-11-09 20:07:28, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001097
127.0.0.1, 2014-11-09 20:07:43, GET, /, HTTP/1.1, 303, 0.002175
127.0.0.1, 2014-11-09 20:07:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.116127
127.0.0.1, 2014-11-09 20:07:43, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000361
127.0.0.1, 2014-11-09 20:07:52, GET, /admin/default/index, HTTP/1.1, 303, 0.071196
127.0.0.1, 2014-11-09 20:07:52, GET, /admin/default/site, HTTP/1.1, 200, 0.057262
127.0.0.1, 2014-11-09 20:07:53, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.000262
127.0.0.1, 2014-11-09 20:07:53, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001227
127.0.0.1, 2014-11-09 20:07:55, GET, /StuffShare/default/index, HTTP/1.1, 500, 0.059914
127.0.0.1, 2014-11-09 20:07:57, GET, /admin/default/ticket/StuffShare/127.0.0.1.2014-11-09.20-07-55.2e94544b-88f6-4b1c-827b-4be902a72cc5, HTTP/1.1, 200, 0.064323
127.0.0.1, 2014-11-09 20:09:43, GET, /, HTTP/1.1, 303, 0.003284
127.0.0.1, 2014-11-09 20:09:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.179372
127.0.0.1, 2014-11-09 20:09:44, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000342
127.0.0.1, 2014-11-09 20:09:44, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000519
127.0.0.1, 2014-11-09 20:09:44, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000205
127.0.0.1, 2014-11-09 20:09:44, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001324
127.0.0.1, 2014-11-09 20:09:44, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000559
127.0.0.1, 2014-11-09 20:09:44, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001301
127.0.0.1, 2014-11-09 20:09:44, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.012776
127.0.0.1, 2014-11-09 20:09:44, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002215
127.0.0.1, 2014-11-09 20:09:44, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.013277
